index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
5314,2,3,8,0,4,2,0,0,3,1,0,0,3,7,7,0,2,1,5,3,4,0
2075,2,3,9,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,0,2,2
5165,3,3,8,0,4,2,0,0,7,1,0,0,3,7,7,0,2,1,5,3,3,0
1155,0,2,8,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,2
4448,2,2,9,1,4,2,0,0,3,0,0,2,2,1,1,0,2,1,3,3,5,0
1045,2,3,8,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,5,1,3,0
3181,2,0,5,1,2,2,0,1,8,0,0,3,3,7,7,0,2,1,5,0,4,6
3225,3,0,3,0,6,2,0,0,8,1,0,3,3,3,5,0,2,1,5,1,5,6
1083,3,0,3,1,6,2,1,0,1,1,3,0,0,7,7,0,2,1,1,0,3,0
6239,3,3,0,1,3,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6
4700,3,2,9,1,4,2,0,0,3,0,0,2,2,0,0,0,2,1,3,3,4,3
2769,2,0,3,0,6,2,0,0,8,1,0,3,3,7,3,0,2,1,5,1,5,6
5020,3,3,8,0,4,2,0,0,3,1,0,3,0,7,7,0,2,1,5,3,4,4
1302,3,3,8,1,6,2,1,0,3,1,3,3,0,7,7,0,2,1,1,1,3,0
2604,3,0,0,0,6,2,0,0,1,1,0,3,3,3,7,0,2,1,5,1,4,6
4864,3,2,3,1,4,2,0,0,3,0,0,2,2,5,5,0,2,1,3,3,5,0
2058,2,0,8,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,0,0
6346,3,3,0,1,4,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,1
376,5,0,0,1,6,2,0,1,0,0,3,3,3,7,7,0,2,1,5,0,5,4
7403,4,2,7,1,3,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,1
873,2,0,0,0,6,2,0,0,1,1,0,3,3,3,7,0,2,1,5,0,4,6
6459,3,3,7,1,8,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,6
6266,3,2,0,1,8,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,3
4911,3,3,7,0,6,2,0,0,10,0,6,3,3,7,6,0,2,2,1,7,1,5
2284,2,2,0,0,6,2,0,0,7,1,0,3,3,7,5,0,2,1,5,0,5,6
5292,2,2,7,1,3,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,6
5544,4,2,7,0,6,2,0,0,10,0,6,3,3,7,7,0,2,2,1,7,1,5
5486,2,2,3,1,4,2,0,0,7,0,0,2,2,5,5,0,2,1,3,3,5,3
2148,3,0,7,0,6,2,0,0,8,1,0,3,3,7,7,0,2,1,5,1,5,6
607,3,2,0,0,0,2,0,0,1,0,5,3,1,7,7,0,2,1,5,0,5,0
5371,4,3,5,0,6,2,0,0,10,0,6,3,3,7,6,0,2,2,1,7,1,5
6129,2,3,0,1,3,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,6
1732,3,3,3,1,6,2,1,0,1,1,3,0,0,7,7,0,2,1,1,0,0,0
4238,3,0,3,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,4,3
2161,2,0,7,0,6,2,0,0,7,1,0,3,3,3,7,0,2,1,5,1,5,6
4401,3,0,9,1,4,2,0,0,3,0,0,2,2,1,1,0,2,1,3,3,4,0
3916,3,2,7,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,1,4,6
1037,3,0,9,0,0,2,1,1,1,1,0,3,3,7,7,0,2,1,5,1,4,6
3101,3,2,0,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,0,5,6
6202,3,2,0,1,4,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,3
825,2,2,9,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,3,2
3775,2,0,3,1,4,2,0,0,3,0,0,2,2,0,0,0,2,1,3,3,5,3
3311,3,2,3,0,6,2,0,0,7,1,0,3,3,5,3,0,2,1,5,1,5,6
5463,4,3,7,0,6,2,0,0,9,0,6,3,3,6,7,0,2,2,1,7,1,5
6697,3,2,0,1,4,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,6
7842,2,3,3,1,6,2,1,0,10,0,6,2,3,7,7,0,2,2,5,7,3,0
5253,3,2,9,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,4,3
1427,2,3,3,1,6,2,1,0,3,1,3,0,0,7,7,0,2,1,1,0,3,0
1668,2,2,3,0,6,2,0,0,1,1,0,3,3,5,3,0,2,1,5,1,4,6
7634,4,2,7,1,4,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,1
2773,2,2,0,0,6,2,0,0,8,1,0,3,3,3,3,0,2,1,5,0,4,6
918,3,0,0,1,6,2,1,0,0,1,3,0,0,7,7,0,2,1,1,1,0,0
2652,2,2,0,0,6,2,0,0,8,1,0,3,3,3,3,0,2,1,5,1,5,6
452,0,3,9,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,5,0,2,2
7118,4,2,7,1,3,2,0,1,2,1,6,2,3,7,7,0,2,1,1,7,4,3
7123,4,3,8,1,6,2,1,0,10,0,6,3,2,7,7,0,2,2,5,7,2,0
6975,4,0,8,1,6,2,1,0,10,0,6,3,3,7,7,0,2,2,5,7,3,0
4755,2,2,3,1,4,2,0,0,4,0,0,2,2,1,5,0,2,1,3,3,5,3
450,2,2,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,2
2796,2,0,3,0,6,2,0,0,10,1,0,3,3,7,3,0,2,1,5,0,4,6
8100,3,3,0,1,6,0,0,0,6,0,6,3,3,4,4,0,0,1,5,2,4,1
5227,2,2,0,1,4,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,6
4405,3,0,9,1,4,2,0,0,3,0,0,2,2,1,0,0,2,1,3,3,5,6
2126,2,0,3,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,1,5,6
282,5,0,0,1,6,2,0,1,7,0,3,3,3,7,7,0,2,1,5,1,4,4
5016,3,2,9,1,4,2,0,0,7,0,0,2,2,5,1,0,2,1,3,3,5,6
2448,3,0,0,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,0,4,6
6855,4,2,0,1,5,2,0,0,10,0,1,2,1,2,2,0,2,0,4,7,1,6
2815,2,0,7,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,1,4,6
4130,2,2,9,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,4,0
4737,3,2,3,1,4,2,0,0,3,0,0,2,2,5,0,0,2,1,3,3,5,3
1949,2,0,3,1,6,2,1,0,7,1,3,3,3,7,7,0,2,1,1,1,0,0
582,2,2,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,0,2,0
4732,3,2,0,0,6,2,0,0,1,1,0,3,3,5,7,0,2,1,5,1,5,6
2091,2,3,8,1,6,2,1,0,0,1,3,3,0,7,7,0,2,1,1,1,0,0
1525,2,3,0,1,6,2,1,0,1,1,3,0,0,7,7,0,2,1,1,1,3,0
4240,2,0,9,1,4,2,0,0,3,0,0,2,2,1,5,0,2,1,3,3,5,3
3635,2,0,3,1,4,2,0,0,4,0,0,2,2,0,1,0,2,1,3,3,4,6
4118,3,0,9,1,4,2,0,0,7,0,0,2,2,5,0,0,2,1,3,3,4,0
6319,2,2,7,1,3,2,0,1,2,1,6,3,3,5,7,0,2,1,1,7,4,1
3124,2,3,8,1,2,2,1,1,7,0,0,3,3,7,7,0,2,1,5,0,3,6
6149,3,3,0,1,8,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,3
4083,2,2,9,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,5,6
7792,4,2,0,1,8,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,3
2019,3,0,0,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,0,0
5081,3,2,9,1,4,2,0,0,4,0,0,2,2,0,1,0,2,1,3,3,4,6
161,0,2,9,0,0,2,0,0,1,0,1,3,3,7,7,0,2,1,5,0,2,0
1319,2,3,8,1,6,2,1,0,7,1,3,3,3,7,7,0,2,1,1,0,3,0
457,0,3,9,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,3,2
7401,1,2,9,1,6,2,1,1,11,0,1,1,1,8,8,0,3,1,1,7,1,1
